IT TERM;TARGET HYPOTHESIS (DE SOUTH TYROL);IT EXAMPLE;Context DE
falsificazione di monete;Geldfälschung;Falsificazione di monete, spendita e introduzione nello Stato, previo concerto, di monete falsificate.;Handelt der Täter gewerbsmäßig oder als Mitglied einer Bande, die sich zur fortgesetzten Begehung einer Geldfälschung verbunden hat, so ist die Strafe Freheitsstrafe nicht unter zwei Jahren.
padre presunto;vermutet Vater;Il padre presunto e la madre ed il figlio sono litisconsorti necessari nel giudizio di disconoscimento.;So kann z.B. der Scheinvater des Kindes, d.h. der Ehemann der Mutter, die das Kind im Ehebruch empfangen hat, die an das Kind gezahlten Unterhaltsbeiträge vom Erzeuger solange nicht ersetzt verlangen, als die Ehelichkeit noch nicht angefochten und die Nichtehelichkeit noch nicht rechtskräftig festgestellt ist. | Frühere Unterhaltsleistungen des vermeintlichen Vaters an das Kind entbehren des rechtlichen Grundes.
esecuzione provvisoria;vorläufig Vollstreckung;Il tempo dell'esecuzione provvisoria della misura di sicurezza è computato nella durata minima di essa.;"Das Gericht kann die Entscheidung für vorläufig vollstreckbar erklärten. Es kann die voräufige Vollstreckung von einer Sicherheitsleistung abhängigi machen; es kann auch dem Angeklagten gestatten, sie durch Sicherheitsleisutng abzuwenden."
avviso indicativo;nicht verbindlich Bekanntmachung;L'avviso indicativo annuale può essere utilizzato in luogo del bando ai fini dell'indizione della gara.;Veröffentlichen Auftraggeber eine regelmäßige nicht verbindliche Bekanntmachung in ihrem Beschafferprofil, so melden sie der Kommission auf elektronischem Weg die Veröffentlichung in ihrem Beschafferprofil.
designazione;Bestellung;La designazione può essere fatta per testamento, per atto pubblico o per scrittura privata autenticata.;Haben der Vater und die Mutter verschiedene Personen benannt, so gilt die Benennung durch den zuletzt verstorbenen Elternteil.
bonus/malus;BMS;Insieme al bonus/malus un ulteriore elemento che caratterizza la polizza R.C. auto è la franchigia[...];Die systematische Grundlage der deutschen Kraft-fahrzeugversicherung ist das sogenannte Bonus-Malus-System [...] | Kritiker sehen im Bonus-Malus eine Gefahr der Fahrerflucht. | [D]as BMS basiert auf der Erfahrung,dass der beste Prädiktor zukünftiger Unfälle die bisherigen Unfälle sind.
indagine;Ermittlung;[La polizia giudiziaria] svolge ogni indagine e attività disposta o delegata dall'autorità giudiziaria.;Erwägt die Staatsanwaltschaft, die öffentliche Klage zu erheben, so vermerkt sie den Abschluss der Ermittlungen.
impossessamento;Aneignung;L'impossessamento si verifica appena il ladro toglie al derubato la materiale disponibilità della cosa.;Das bloß eigenmächtige Verfügen ist nicht Zueignung, da Zueignungsabsicht fehlt, hieran fehlt es auch bei bloßer Preisgabe oder Zerstörung der Sache, es sei denn der Zueignungswille wäre zuvor betätigt worden.
esame;Prüfung;Qualora la persona risulti ancora pericolosa, il giudice fissa un nuovo termine per un esame ulteriore.;Die Fristen für die Dauer der Unterbringung und die Überprüfung richten sich nach den Vorschriften, die für die im Urteil angeordnete Unterbringung gelten.
segretezza della corrispondenza;Briefgeheimnis;La libertà e la segretezza della corrispondenza e di ogni altra forma di comunicazione sono inviolabili.;Das Briefgeheimnis sowie das Post- und Fernmeldegeheimnis sind unverletzlich.
abuso di foglio firmato in bianco;Blankettmissbrauch;Il codice distingue due figure di abuso di foglio firmato in bianco, delineandole negli artt. 486 e 487.;
concreditore;Mitgläubiger;L'obbligazione divisibile è quella che consente al singolo concreditore di richiedere solo la sua parte.;Nach allgemeinen schuldrechtlichen Grundsätzen sind mehrere aus einem Schuldverhältnis Berechtigte in der Regel Mitgläubiger im Sinne des § 432 Abs. 1 BGB (vgl. Palandt/Heinrichs, 60. Aufl., § 432, Rn. 1). Dies gilt nach der Kommentierung von Voelskow (in: Münchner Kommentar Band 3, 3. Aufl., §§ 535, 536, Rn. 12) auch für Mitmieter hinsichtlich der Ansprüche aus dem Mietverhältnis. Als Mitgläubiger können sie nach der ausdrücklichen Regelung in § 432 Abs. 1 BGB vom Schuldner nicht Leistung an sich allein, sondern nur an alle Berechtigten verlangen (vgl. Palandt/Heinrichs, 60. Aufl., § 432, Rn. 8).
riposo;Arbeitsruhe;"È ammessa la collocabilità del riposo di 24 ore consecutive ""in un giorno diverso dalla domenica"" [...].";Zweck des [Arbeitszeitg]esetzes ist es, [...] den Sonntag und die staatlich anerkannten Feiertage als Tage der Arbeitsruhe und der seelischen Erhebung der Arbeitnehmer zu schützen.
appalto a regia;Werkvertrag mit Regiepreis;"L'appaltatore è esonerato da responsabilità per errori di progettazione nel cosidetto ""appalto a regia"".";
valutazione della prova;Beweiswürdigung;Il giudice valuta la prova dando conto nella motivazione dei risultati acquisiti e dei criteri adottati.;Grundlage der Beweiswürdigung ist der gesamte Inhalt der Verhandlung, also nicht nur der Beweisaufnahme. Dazu gehören Handlungen und Unetrlassungen der Prozessbeteiligten, der persönliche Eindruck, den das Gericht von den Beteiligten gewonnen hat etc.
rapporto di discendenza;Abstammungsverhältnis;La filiazione, che è rapporto di discendenza, quindi di parentela, si configura come rapporto giuridico.;Während der Stamm das Abstammungsverhältnis von Stammeltern zu ihren Abkömmlingen erfasst (abwärts), ergreift die Linie das Verhältnis der Abkömmlinge zu ihren Vorfahren (aufwärts).
accordo;Übereinkunft;La competenza non può essere derogata per accordo delle parti, salvo che nei casi stabiliti dalla legge.;Kommt eine Einigung über die Höhe der Miete nicht zustande, kann der Vermieter eine angemessene Miete, im Zweifel die ortsübliche Vergleichsmiete, verlangen. | Die Eltern haben die elterliche Sorge in eigener Verantwortung und in gegenseitigem Einvernehmen zum Wohl des Kindes auszuüben. | Solange nicht die Parteien sich über alle Punkte eines Vertrags geeinigt haben, über die nach der Erklärung auch nur einer Partei eine Vereinbarung getroffen werden soll, ist im Zweifel der Vertrag nicht geschlossen. | Wird eine Willenserklärung, die einem anderen gegenüber abzugeben ist, mit dessen Einverständnis nur zum Schein abgegeben, so ist sie nichtig. | Beschlüsse des Deutschen Marktüberwachungsforums sollen im Konsens gefasst werden. | Gelten für eine Reiseleistung internationale Übereinkünfte oder auf solchen beruhende gesetzliche Vorschriften, nach denen ein Anspruch auf Schadensersatz gegen den Leistungserbringer nur unter bestimmten Voraussetzungen oder Beschränkungen entsteht oder geltend gemacht werden kann oder unter bestimmten Voraussetzungen ausgeschlossen ist, so kann sich auch der Reiseveranstalter gegenüber dem Reisenden hierauf berufen.
contraddittorio;Widerstreit;I provvedimenti sull'ammissione della prova possono essere revocati sentite le parti in contraddittorio.;Die Anhörung der Beteiligten ist ein wesentlicher Teil der Parteienöffentlichkeit des Verfahrens und stellt das wichtigste Recht der Beteiligten im Verfahren dar.
ordine del giorno;Tagesordnung;L'ordine del giorno trova esplicito rilievo normativo soprattutto in materia di società e di condominio.;Im Rahmen der Förmlichkeiten bei der abhaltung von Gesellscahfterversammlungen oder Sitzungen von Gesellscahftsgremien wie den Aufsichtsrat einer AG oder GmbH kann die vorherige Mitteilung und spätere Einhaltung einer Tagesordnung vorgesehen sein.
oggetto sociale;Unternehmensgegenstand;L'oggetto sociale deve essere possibile, lecito, determinato e deve consistere in un'attività economica.;Im einzelnen pflegt man zwischen Gesellschaftszweck und Gegenstand des Unternehmens zu unterscheiden.
confisca;Einziehung;È sempre ordinata la confisca del denaro esposto nel giuoco e degli arnesi od oggetti ad esso destinati.;
subprocura;Untervollmacht;In via generale non è ammissibile la subprocura, poiché la rappresentanza è un istituto intuitu personae.;"Der Unterbevollmächtigte hat den Vollmachtsnachweis also in der Weise zu führen, daß seine Vertretungsmacht bis auf die Partei zurückgeführt werden kann; er muß nicht nur die Untervollmacht nachweisen, sondern auch die Vertretungsmacht der Person, von der er die Untervollmacht ableitet."
fatto dannoso;schädigend Ereignis;Se il fatto dannoso è imputabile a più persone, tutte sono obbligate in solido al risarcimento del danno.;Wer das 18. Lebensjahr noch nicht vollendet hat, ist, sofern seine Verantwortlichkeit nicht [...] ausgeschlossen ist, für den Schaden, den er einem anderen zufügt, nicht verantwortlich, wenn er bei der Begehung der schädigenden Handlung nicht die zur Erkenntnis der Verantwortlichkeit erforderliche Einsicht hat. | Für Klagen, die auf Grund dieses Gesetzes [Straßenverkehrsgesetz] erhoben werden, ist auch das Gericht zuständig, in dessen Bezirk das schädigende Ereignis stattgefunden hat.
ineleggibilità;Ausschluss von der Wählbarkeit;La legge determina i casi di ineleggibilità e di incompatibilità con l'ufficio di deputato o di senatore.;Nur scheinbar in Gegensatz zur Allgemeinheit der Wahl steht die Ermächtigung des Art. 137 Abs. 1 GG, wonach die Wählbarkeit von Angehörigen des öffentlichen Dienstes u.a. zum Bundestag gesetzlich beschränkt werden kann. Entgegen dem Wortlaut soll diese Bestimmung nicht den Ausschluß der Wählbarkeit (Ineligibilität) rechtfertigen können, sondern lediglich Regelungen über die Unvereinbarkeit des erworbenen Mandats mit der gleichzeitigen Wahrnehmung von Ämtern der zweiten und dritten Gewalt.
convalida;Heilung;La convalida non ha effetto, se chi la esegue non è in condizione di concludere validamente il contratto.;Bestätigung des anfechtbaren Rechtsgeschäfts
pegno irregolare;unregelmäßig Pfand;È pegno irregolare, perchè il creditore non è tenuto a conservare e a restituire la stessa cosa ricevuta.;
serie vaccinale;Impfserie;La serie vaccinale o vaccini aggiuntivi verranno somministrati nel luogo di residenza/lunga permanenza[.];Die Leistungserbringer […] haben täglich folgende Angaben […] an das Robert Koch-Institut zu übermitteln: […] 7. Beginn oder Abschluss der Impfserie (Erst-, Folge- oder Auffrischimpfung), […].
girata per procura;Vollmachtsindossament;L'efficacia della girata per procura non cessa per la morte o per la sopravvenuta incapacità del girante.;
separazione di processi;Trennung von Strafsache;La riunione e la separazione di processi sono disposte con ordinanza, anche di ufficio, sentite le parti.;Aus Gründen der Zweckmäßigkeit kann durch Beschluß dieses Gerichts die Trennung der verbundenen Strafsachen angeordnet werden.
riunione di processi;Vereinigung von Verfahren;La riunione e la separazione di processi sono disposte con ordinanza, anche di ufficio, sentite le parti.;
obbligazione contrattuale;Vertragsverhältnis;Le obbligazioni contrattuali sono in ogni caso regolate dalla Convenzione di Roma del 19 giugno 1980 [..];Auf rechtsgeschäftlicher Grundlage beruhen vor allem solche Schuldverhältnisse, die durch Abschluß eines schuldrechtlichen Vertrags entstehen (Vertragsverhältnis).
conciliazione stragiudiziale;aussergerichtlich Streitbeilegung;La conciliazione stragiudiziale può formare oggetto di tentativo in sede amministrativa oppure sindacale.;
borsa valori;Wertpapierbörse;Dal 19-2-1996 nelle borse valori nazionali tutti i titoli di listino devono essere trattati per contanti.;An Börsen werden Waren und Wertpapiere, Devisen, u.a. Objekte gehandelt.
ex nunc;ex nunc;In caso di atti recettizi, gli effetti decorrono ex nunc dal momento della notificazione o comunicazione.;Verzichtet der Markeninhaber während eines laufenden Löschungsverfahrens wegen Nichtigkeit der Marke auf diese, wird das Löschungsverfahren durch das ex nunc wirkende Erlöschen der Marke nicht in vollem Umfang in der Hauptsache erledigt.
diritto di opposizione;Widerspruchsrecht;Il diritto di opposizione compete anche al coniuge della persona che vuole contrarre un altro matrimonio.;Durch Landesgesetze können die Rechtsträger des öffentlichen Dienstes umstrukturiert werden. Solche Gesetze können grundsätzlich auch vorsehen, dass die Arbeitsverhältnisse der in den umstrukturierten Bereichen Beschäftigten auf einen neuen Rechtsträger übergeleitet werden, ohne dass den Arbeitnehmern ein Recht zum Widerspruch gegen den Übergang ihres Arbeitsverhältnisses eingeräumt wird. Ein solches Widerspruchsrecht ergibt sich nicht aus dem Bürgerlichen Gesetzbuch, da es sich bei Umstrukturierungen kraft Gesetzes nicht um einen rechtsgeschäftlichen Betriebsübergang handelt.
assegnazione;Zuweisung;Per l’assegnazione e il rilascio degli alloggi per il personale si applica la procedura semplificata […].;Für einen alleinstehenden Antragsteller / eine alleinstehende Antragstellerin kann zusätzlicher Raumbedarf auch durch die Zuweisung einer 1 ½-Zimmer-Wohnung erfüllt werden.
polizza a tempo;laufend Schadensversicherung;"Nei trasporti sono in uso due tipi-base di forme contrattuali: [1.] Speciale ""a viaggio"", [2.] ""a tempo"".";Der Versicherungsnehmer ist verpflichtet, dem Versicherer sämtliche unter die laufende Versicherung fallende Transporte und Lagerungen einzeln mit Angabe des Versicherungswertes unverzüglich anzumelden.
figlio adottivo;Wahlkind;L'adottante deve gli alimenti al figlio adottivo con precedenza sui genitori legittimi o naturali di lui.;Als Voraussetzung für die Versicherung des Neugeborenen oder des Adoptivkindes kann eine Mindestversicherungsdauer des Elternteils vereinbart werden.
segretezza;Geheimhaltung;Gli atti e i documenti acquisiti sono custoditi secondo modalità tali da assicurarne la segretezza [...].;Die Mitglieder des Vertrauensgremiums sind zur Geheimhaltung aller Angelegenheiten verpflichtet, die ihnen bei ihrer Tätigkeit bekanntgeworden sind.
negozio efficace;gültig Rechtsgeschäft;[N]on necessariamente unnegozio efficace è anche valido. Validità ed efficacia non vanno confuse tra loro.;Geschäftsunfähige können keine wirksamen Rechtsgeschäfte vornehmen.
errore sulla natura del negozio;Irrtum über der Art der Rechtsgeschäft;[C]redevo di dare in locazione, e invece ho sottoscritto un contratto di vendita (error in negotio) [...].;
incompatibilità;Inkompatibilität;Decorsi quindici giorni dalla diffida, senza che l'incompatibilità cessi, il militare decade dall'impiego.;Beruht die Unvereinbarkeit lediglich auf der ausgeübten Funktion, so ist der Dienstherr verpflichtet, der Beamtin oder dem Beamten auf ihren oder seinen Antrag eine andere, gleichwertige Funktion zu übertragen.
acquisto;Erwerbung;L'acquisto si opera di diritto senza bisogno di accettazione [...] e non può farsi luogo a rinunzia [...].;Der Erwerb des Eigentums [...] tritt nicht ein, wenn die Sache dem Eigentümer gestohlen worden, verloren gegangen oder sonst abhanden gekommen war.
nuovo matrimonio;neu Ehe;Divenuta eseguibile la sentenza che dichiara la morte presunta, il coniuge può contrarre nuovo matrimonio.;Geht ein Ehegatte, nachdem der andere Ehegatte für tot erklärt wurde, eine neue Ehe ein, so kann [...] die neue Ehe nur dann [...] aufgehoben werden, wenn beide Ehegatten bei der Eheschließung wussten, dass der für tot erklärte Ehegatte im Zeitpunkt der Todeserklärung noch lebte.
memoria difensiva;Klageerwiderung;La costituzione del convenuto si effettua mediante deposito in cancelleria di una memoria difensiva [...].;In der Klageerwiderung hat der Beklagte seine Verteidigungsmittel vorzubringen, soweit es nach der Prozesslage einer sorgfältigen und auf Förderung des Verfahrens bedachten Prozessführung entspricht. Die Klageerwiderung soll ferner eine Äußerung dazu enthalten, ob einer Entscheidung der Sache durch den Einzelrichter Gründe entgegenstehen.
legge eccezionale;Ausnahmegesetz;Se si tratta di leggi eccezionali o temporanee, non si applicano le disposizioni dei capoversi presedenti.;
bene ammortizzabile;abschreibungsfähig Wirtschaftsgut;La differenza, per la parte attribuibile a beni ammortizzabili o all'avviamento, deve essere ammortizzata.;
legge ordinaria;einfach Gesetz;Il governo non può, senza delegazione delle Camere, emanare decreti che abbiano valore di legge ordinaria.;"Einschränkungen der Gesetze sind möglich [...]; eine Einschränkung des Freiheitsbereichs ist dann durch einfaches Gesetz möglich, solange das Gesetz nicht in seinem Wesensgehalt angetastet wird [...]."
obbligo di prestazioni accessorie;Nebenleistungspflicht;L'obbligo di prestazioni accessorie non ha carattere personale, ma è inerente alle azioni dal socio [...].;
volontà negoziale;Geschäftswille;La volontà negoziale deve essere tratta fuori dalle espressioni con le quali essa venne manifestata [...].;
legge temporanea;zeitlich beschränkt Gesetz;Se si tratta di leggi eccezionali o temporanee, non si applicano le disposizioni dei capoversi precedenti.;Auf Straftaten, die während seiner Geltungsdauer begangen worden sind, ist das Zeitgesetz auch dann anzuwenden, wenn es zur Zeit der Entscheidung nicht mehr in Kraft ist.
custodia cautelare in carcere;vorbeugend Verwahrungshaft in ein Strafanstalt;La custodia cautelare in carcere può essere disposta soltanto quando ogni altra misura risulti inadeguata.;"Unter den verfahrenssichernden Maßnahmen ist die Untersuchungshaft der einschneidendste Eingriff in die persönliche Freiheit; auf der anderen Seite ist sie für eine wirksame Strafrechtspflege in manchen Fällen unentbehrlich."
riconciliazione;Versöhnung;La riconciliazione tra i coniugi comporta l'abbandono della domanda di separazione personale già proposta.;Ein Zusammenleben über kürzere Zeit, das der Versöhnung der Ehegatten dienen soll, unterbricht oder hemmt die in § 1566 bestimmten Fristen nicht.
passivo;Passivstand;La divisione dei beni della comunione legale si effettua ripartendo in parti eguali l'attivo e il passivo.;
all'unanimità;einstimmig;Le disposizioni approvate all'unanimità dalla commissione sono deliberate dal Consiglio senza discussione.;Sind mehrere Liquidatoren vorhanden, so sind sie nur gemeinschaftlich zur Vertretung befugt und können Beschlüsse nur einstimmig fassen, sofern nicht ein anderes bestimmt ist.
avviamento;Unternehmungswert;La differenza, per la parte attribuibile a beni ammortizzabili o all'avviamento, deve essere ammortizzata.;Die Abschreibung des Geschäfts- oder Firmenwerts kann aber auch planmäßig auf die Geschäftsjahre verteilt werden, in denen er voraussichtlich genutzt werden kann.
pagamento;Zahlung;Il termine usato dal Codice, adempimento, corrisponde a quello che tradizionalmente si chiama il pagamento.;
delega di voto;Bevollmächtigung zu Ausübung der Stimmrecht;Un membro con delega di voto da parte di un altro membro deve esprimere detto voto nelle forme autorizzate.;
comparizione;Erscheinen;In caso di mancata comparizione dell'interessato per giustificati motivi, si provvede a nuova convocazione.;Die Termine werden an der Gerichtsstelle abgehalten, sofern nicht die Einnahme eines Augenscheins an Ort und Stelle, die Verhandlung mit einer am Erscheinen vor Gericht verhinderten Person oder eine sonstige Handlung erforderlich ist, die an der Gerichtsstelle nicht vorgenommen werden kann.
attraversamento pedonale semaforizzato;ampelgesichert Schutzweg;Gli attraversamenti pedonali semaforizzati possono essere dotati di segnalazioni acustiche per non vedenti.;Rechtsfehlerfrei hat das Berufungsgericht der Klägerin entgegen der Auffassung der Revision ferner als Mitverschulden auch angelastet, daß sie für die Überquerung der Straße nicht den Fußgängerüberweg an der ampelgeregelten Kreuzung benutzt hat. Gemäß § 25 Abs. 3 StVO müssen Fußgänger bei der Überquerung von Fahrbahnen ampelgeregelte Fußgängerüberwege an Kreuzungen benutzen, wenn die Verkehrslage dies erfordert. | Zwischen einer Kreuzung oder Einmündung und einem ampelgesicherten Fußgängerüberweg, der nach natürlicher Betrachtung noch zum Bereich der Kreuzung oder Einmündung gehört, dürfen Fußgänger die Fahrbahn nicht überqueren.
fusione eterogenea;Verschmelzung unterschiedlich Rechtsträger;Nella fusione eterogenea è senz'altro concesso al socio assente o dissenziente il diritto di recesso [...].;
obbligo dei soci;Pflicht der Gesellschafter;"Costituiscono obblighi dei soci: l'esecuzione dei conferimenti; l'esecuzio di prestazioni accessorie [...].";Wichtigste Pflicht der Gesellschafter ist die Treuepflicht gegenüber der Gesellschaft zu nennen, d.h. jeder Gesellschafter ist verpflichtet, sich stets loyal gegenüber der Gesellschaft zu verhalten, die gemeinsam vereinbarten Ziele und den Gesellschaftszweck zu fördern und jeglichen Schaden von der Gesellschaft abzuwenden. Aus der Treuepflicht der Gesellschafter ergibt sich in bestimmten Fällen auch ein Wettbewerbsverbot der Gesellschafter.
incapacità a contrattare;Unfähigkeit zu Abschluss von Vertrag;"[L']incapacità a contrattare di una delle parti, [...] può essere incapacità legale o solo naturale; [...].";
brevetto;Patent;Possono costituire oggetto di brevetto le nuove invenzioni atte ad avere una applicazione industriale [...].;Die durch den Patentinhaber bewirkte Einfuhr von Gegenständen, die in dem einen oder anderen Verbandsland hergestellt worden sind, in das Land, in dem das Patent erteilt worden ist, hat den Verfall des Patents nicht zur Folge.
engineer;Engineer;L'engineer può essere una persona fisica, una società, un'associazione temporanea di imprese o un consorzio.;
collazione per imputazione;Idealkollation;La collazione per imputazione si fa avuto riguardo al valore dell'immobile al tempo dell'aperta successione.;Bei der Teilung unter den beteiligten Abkömmlingen wird nach der dispositiven Vorschrift die Ausgleichung nur rechnerisch (Idealkollation) und nicht durch Rückgewähr der Zuwendungen in Natur (Realkollation).
sovventore;Unterstützer;La norma (CP art. 306, banda armata) - unico caso nel codice - prevede anche la figura del sovventore [...].;
crematorio;Anlage zu Feuerbestattung;I crematori devono essere costruiti entro i recinti dei cimiteri e sono soggetti alla vigilanza del sindaco.;Jede Leiche muss bestattet werden, und zwar durch Beisetzung in einer Grabstätte (Erdbestattung) oder durch Einäscherung in einer Feuerbestattungsanlage und Beisetzung der in einer festen Urne verschlossenen Aschenreste in einer Grabstätte (Feuerbestattung) oder durch Einäscherung in einer Feuerbestattungsanlage und Beisetzung der Urne von einem Schiff auf hoher See (Seebestattung).
discussione;Vortrag der Partei;Conclusi gli accertamenti relativi alla costituzione delle parti, il giudice dichiara aperta la discussione.;Vor der Entscheidung über die Beschwerde ist ihnen und der Staatsanwaltschaft Gelegenheit zur mündlichen Begründung ihrer Anträge sowie zur Erörterung über durchgeführte Ermittlungen zu geben.
rimproverabile;vorwerfbar;"""Nulla poena sine culpa"": nessuno può essere assoggettato a pena se il suo fatto non è a lui rimproverabile.";"Schließlich unterliegt das Notwehrrecht auch bei provozierten Notwehrlagen sozialethischen Einschränkungen. Zu unterscheiden sind insoweit die Absichtsprovokation und die sonst vorwerfbar
herbeigeführte Notwehrlage."
condizione impossibile;unmöglich Bedingung;"La condizione impossibile rende nullo il contratto se è sospensiva; se è risolutiva, si ha come non apposta.";
sovventore della banda armata;Unterstützer der bewaffnet Bande;La norma (CP art. 306, banda armata) - unico caso nel codice - prevede anche la figura del sovventore [...].;
ginocchiera;Knieschützer;Per lavorare in queste posizioni [con entrambi o un solo ginocchio appoggiato] è utile usare le ginocchiere.;Der Knieschutz soll so befestigt werden können, dass er während der üblichen Benutzung, z.B. knien, gehen, in seiner Position am Knie verbleibt. Befestigungen dürfen nicht im Bereich der Kniekehlen liegen.
presunzione semplice;tatsächlich Vermutung;La prova della decadenza per non uso può essere fornita con qualsiasi mezzo comprese le presunzioni semplici.;Die tatsächliche Vermutung ist nichts anderes als die Schlussfolgerung, die nach den Gesetzen der Logik aus dem ihr zu Grunde liegenden Erfahrungssatz abzuleiten ist. Den Gesetzen der Logik und dem Erfahrungswissen ist der Richter bei der Würdigung von Beweisen und der Feststellung von Tatsachen verpflichtet.
scala in appoggio scorrevole;verfahrbar Regalleiter;La scala scorrevole può essere provvista del corrimano quale accessorio migliorativo ai fini della sicurezza.;"Regalleitern [...] sind Anlegeleitern zur Beschickung/Entnahme von Ware (Kleiteilen etc.) aus Regalen, die am oberen Ende an Regalen eingehängt werden oder die am oberen Ende mit Fahrwerken (Rollen) auf Führungsschienen laufen. Für Regalleitern mit Fahrwerk ist auch die Bezeichnung ""Rollleiter"" gebräuchlich. | Regalleiter zum Verfahren (""verfahrbare Regalleitern"", auch ""Rollleitern"" genannt) sind am oberen Ende mit Fahrwerken (Rollen) ausgerüstet, welche auf am Regal angebrachten Führungsschienen laufen."
orario di lavoro;Arbeitszeit;L'orario di lavoro è [...] criterio fondamentale di commisurazione dell'obbligo retributivo del datore [...].;Bei Dienstreisen ist die Zeit zur Erledigung von Dienstgeschäften außerhalb der Dienststätte Arbeitszeit.
misura cautelare;Sicherungsmittel;Nessuno può essere sottoposto a misure cautelari se a suo carico non sussistono gravi indizi di colpevolezza.;"Bei einer differenzierten Aufgliederung der Zwangsmittel nach ihrer prozessualen Funktion (wobei ein Zwangsmittel häufig verschiedene Funktionen hat) lassen sich sechs verschiedene Zwecke unterscheiden [...]: Ermittlung, Sicherung der Beweise, Feststellung der Verfahrensvoraussetzungen, Sicherung der Durchführbarkeit des Verfahrens, Sicherung der Urteilsvollstreckung, Verhütung von Straftaten. | Die strafprozessualen Zwangsmaßnahmen dienen der Sicherung des Verfahrensziels und haben keinen Strafcharakter. Demgemäß ist der von ihnen Betroffene im Sinne einer strafrechtlichen Anschuldigung immer ein Unschuldiger. | Die vorbeugende Maßnahme der Sicherungshaft zum Schutz der Allgemeinheit vor weiteren erheblichen Straftaten besonders gefährlicher Täter erlaubt die Vorschrift [§112a StPO]; sie ist präventiv-polizeilicher Natur. | Der Verstoß gegen ambulante Verfahrenssicherungsmaßnahmen macht noch kein strafwürdiges Unrecht und keine rechtlich relevante Schuld aus. Auch ist noch niemanden eingefallen, etwa die Haftverschonungsweisungen [...] mit Strafe zu bewehren.[D]aß eine solche Zwangsvorschrift [die Sanktion der Untersuchungshaft] letztlich auch der Unschuldsvermutung zuwiederliefe, sei am Ende noch hinzugefügt: die verfahrenssichernden Maßnahmen erhielten mittelbar auch Strafcharakter."
indizio di colpevolezza;Tatverdacht;Nessuno può essere sottoposto a misure cautelari se a suo carico non sussistono gravi indizi di colpevolezza.;In dem Haftbefehl sind anzuführen [...] die Tatsachen, aus denen sich der dringende Tatverdacht und der Haftgrund ergibt, soweit nicht dadurch die Staatssicherheit gefährdet wird.
annullamento;Wirksamwerden der Kapitalherabsetzung;In mancanza, deve procedersi senza indugio al loro annullamento e alla corrispondente riduzione del capitale.;Kraftloserklärung von Aktien im Aufgebotsverfahren
debito ereditario;Erblasserschuld;Il curatore può provvedere al pagamento dei debiti ereditari e dei legati, previa autorizzazione del pretore.;Der Erbe hafte für die Nachlassverbindlichkeiten.
debitore ceduto;Drittschuldner;È prassi delle imprese di factoring di chiedere al debitore ceduto conferma dell'esistenza del credito [...].;Die Abtretung erfolgt durch Vertrag zwischen dem bisherigen und dem neuen Gläubiger. Eine Mitwirkung des Schuldners ist nicht erforderlich.
alea;Risiko;La risoluzione non può essere domandata se la sopravvenuta onerosità rientra nell'alea normale del contratto.;
avente diritto;Berechtigter;L'assemblea non può deliberare, se non consta che tutti gli aventi diritto sono stati regolarmente convocati.;Können die Eltern wegen einer schweren Krankheit, Schwerbehinderung oder Todes der Eltern ihr Kind nicht betreuen, haben Verwandte bis zum dritten Grad und ihre Ehegatten oder Ehegattinnen Anspruch auf Elterngeld, wenn sie die übrigen Voraussetzungen [...] erfüllen und von anderen Berechtigten Elterngeld nicht in Anspruch genommen wird.
compromesso;Schiedsabrede;Il compromesso deve, a pena di nullità, essere fatto per iscritto e determinare l'oggetto della controversia.;Eine Schiedsvereinbarung kann in Form einer selbständigen Vereinbarung (Schiedsabrede) oder in Form einer Klausel in einem Vertrag (Schiedsklausel) geschlossen werden.
incaricato;beauftragt Person;Gli incaricati a tempo indeterminato seguono la progressione economica del corrispondente personale di ruolo.;Dem Beauftragten obliegen die Aufstellung der Unterlagen für die Finanzplanung und der Unterlagen für den Entwurf des Haushaltsplans (Voranschläge) sowie die Ausführung des Haushaltsplans.
impianto delle pubbliche comunicazioni;für öffentlich Zweck bestimmt Fernmeldeanlage;Attentati alla sicurezza degli impianti di energia elettrica e del gas, ovvero delle pubbliche comunicazioni.;Wer den Betrieb einer öffentlichen Zwecken dienenden Telekommunikationsanlage verhindert oder gefährdet, daß er eine dem Betrieb dienende Sache zerstört, beschädigt, beseitigt [...] wird mit Freiheitsstrafe bis zu fünf Jahren oder mit Geldstrafe bestraft.
reato di danno;Verletzungsdelikt;"Nel reato di danno di lesioni, l'integrità fisica deve risultare lesionata; nell'omicidio, la vita distrutta.";Gehört der Eintritt eines Schadens zum Tatbestand, so spricht man demgegenüber von Verletzungsdelikten, wie zB bei Mord und Sachbeschädigung.
donazione mortis causa;Schenkung von Tod wegen;[L]a donazione a causa di morte [...] è da considerarsi nulla in quanto integra un patto successorio vietato.;
gravi indizi di colpevolezza;dringend Tatverdacht;Nessuno può essere sottoposto a misure cautelari se a suo carico non sussistono gravi indizi di colpevolezza.;Die Prognose, daß eine Verurteilung wahrscheinlich ist, verlangt der dringende Tatverdacht nicht.
